
🇨🇳央视频道,#genre#
CCTV10,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165404%2Cysten2_10000100000000050000000000996970%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHkKZWzSEnRRCkClavMqabWEwbTarg39tKD56WWd4bpo8wtF1rpWaYZ7m0BRYzJQWUtXkxX16lUCYTOUv0LIOWzMD7pnNlqEftfFxdskzyQnA5HsmqsXDj4bT4seWrvVKcwiAeKb4bQ7pOlr-ROJyL5NA3oeMHj88p-glhVE3jupf3rB9DhXQfHuyGtArtA5HqXXA_Tlv4ROwBc4ejEi39eftYDyO-0UFqi-0AAAA
CCTV11,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165404%2Cysten2_10000100000000050000000000996970%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHkKZWzSEnRRCkClavMqabWEwbTarg39tKD56WWd4bpo8wtF1rpWaYZ7m0BRYzJQWUtXkxX16lUCYTOUv0LIOWzMD7pnNlqEftfFxdskzyQnA5HsmqsXDj4bT4seWrvVKcwiAeKb4bQ7pOlr-ROJyL5NA3oeMHj88p-glhVE3jupf3rB9DhXQfHuyGtArtA5HqXXA_Tlv4ROwBc4ejEi39eftYDyO-0UFqi-0AAAA
CCTV12,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165404%2Cysten2_10000100000000050000000000996970%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHkKZWzSEnRRCkClavMqabWEwbTarg39tKD56WWd4bpo8wtF1rpWaYZ7m0BRYzJQWUtXkxX16lUCYTOUv0LIOWzMD7pnNlqEftfFxdskzyQnA5HsmqsXDj4bT4seWrvVKcwiAeKb4bQ7pOlr-ROJyL5NA3oeMHj88p-glhVE3jupf3rB9DhXQfHuyGtArtA5HqXXA_Tlv4ROwBc4ejEi39eftYDyO-0UFqi-0AAAA
CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV14,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225933/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165404%2Cysten2_10000100000000050000000000996970%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHkKZWzSEnRRCkClavMqabWEwbTarg39tKD56WWd4bpo8wtF1rpWaYZ7m0BRYzJQWUtXkxX16lUCYTOUv0LIOWzMD7pnNlqEftfFxdskzyQnA5HsmqsXDj4bT4seWrvVKcwiAeKb4bQ7pOlr-ROJyL5NA3oeMHj88p-glhVE3jupf3rB9DhXQfHuyGtArtA5HqXXA_Tlv4ROwBc4ejEi39eftYDyO-0UFqi-0AAAA
CCTV15,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165404%2Cysten2_10000100000000050000000000996970%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHkKZWzSEnRRCkClavMqabWEwbTarg39tKD56WWd4bpo8wtF1rpWaYZ7m0BRYzJQWUtXkxX16lUCYTOUv0LIOWzMD7pnNlqEftfFxdskzyQnA5HsmqsXDj4bT4seWrvVKcwiAeKb4bQ7pOlr-ROJyL5NA3oeMHj88p-glhVE3jupf3rB9DhXQfHuyGtArtA5HqXXA_Tlv4ROwBc4ejEi39eftYDyO-0UFqi-0AAAA
CCTV16,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227125/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165404%2Cysten2_10000100000000050000000000996970%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHkKZWzSEnRRCkClavMqabWEwbTarg39tKD56WWd4bpo8wtF1rpWaYZ7m0BRYzJQWUtXkxX16lUCYTOUv0LIOWzMD7pnNlqEftfFxdskzyQnA5HsmqsXDj4bT4seWrvVKcwiAeKb4bQ7pOlr-ROJyL5NA3oeMHj88p-glhVE3jupf3rB9DhXQfHuyGtArtA5HqXXA_Tlv4ROwBc4ejEi39eftYDyO-0UFqi-0AAAA
CCTV17,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165404%2Cysten2_10000100000000050000000000996970%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHkKZWzSEnRRCkClavMqabWEwbTarg39tKD56WWd4bpo8wtF1rpWaYZ7m0BRYzJQWUtXkxX16lUCYTOUv0LIOWzMD7pnNlqEftfFxdskzyQnA5HsmqsXDj4bT4seWrvVKcwiAeKb4bQ7pOlr-ROJyL5NA3oeMHj88p-glhVE3jupf3rB9DhXQfHuyGtArtA5HqXXA_Tlv4ROwBc4ejEi39eftYDyO-0UFqi-0AAAA


